set-up,punchline,label
What do Russians and gays have in common?,They both like bears.,1
Waiting at the vet's office for my dog to get his shots.,Might let the guy in the beard of wasps go ahead of me.,1
These last 4 days have been some of the longest and darkest I can remember.,Thanks to everyone for the thoughts and prayers while I was without a phone.,1
Black people have 3 things that are white.,"Their eyeballs, their teeth, and... their masters",1
What do you call a bear that's stuck out in the rain?,A drizzly bear.,1
What is the difference between peanut butter and a blonde?,The blonde is easier to spread!,1
What do you call a girl who sets fire to bank loans?,Bernadette.,1
What do you call a musician with no girlfriend?,Homeless.,1
What do u call a gay dinosaur?,A mega-sore-ass,1
What's the difference between me and a Jew?,I sing in the shower.,1
Why are snakes measured in inches?,Because they don't have any feet.,1
My wife wanted to brighten up the garden.,So I planted some bulbs.,1
My wife just told me to put the toilet seat down.,I don't know why I was carrying it around in the first place.,1
[fridge shopping] Salesmen: What type of fridge are you looking for?,Me: Do you have something in stainless steel that does a good job hiding rotting vegetables?,1
Q: What did the skunk use to contact his girlfriend?,A: His smellular phone!,1
You wanna hear a dirty joke A horse fell in the mud.,And then some crazy lesbian who hates horses put on a strap on and fucked it till it died.,1
wife: Do you want a bowl?,me [eating ice cream out of the carton] Why?,1
My wife...,It's difficult to say what she does... She sells seashells on the seashore.,1
Did you know that Princess Diana was on her cell phone when she died?,"She was also on the dashboard, the windscreen, the roadside...",1
How can you tell the difference between a crocodile and an alligator?,"Easy, one will see you later, the other will see you in a while.",1
Don't worry if a fat guy comes to kidnap you...,I told Santa all I want for Christmas is you.,1
"Me: Sweetie, I think these wireless headphones you got me are defective.",Wife: Those are earmuffs.,1
"Damn girl, are you a jar of pickles?",Because I think I NEED to bang you on my kitchen counter.,1
Have you heard of the new Apple Product to protect your eyes?,It's called the iLid.,1
I couldn't figure out how the seat belt worked.,Then it just clicked,1
My doctor friend is addicted to hitting his patients on their knees to check their reflexes.,He really gets a kick out of it.,1
It's normal for married couples to fight.,The trick is for you and your spouse to find a couple you can easily beat up.,1
What do you call an Irishman who bounces off of walls?,Rick O'Shea.,1
I fucking hate Fat Kids.,They always win at seesaw.,1
Fuck the Japanese.,The only yellow people I trust are the Simpsons.,1
What do you do when a blonde throws a grenade at you?,Pull the pin and throw it back.,1
Why should you bury indians 10 feet deep?,Because deep down they're good people,1
What becomes shorter when you add 2 letters?,Short corny,1
Two cheese trucks ran into each other.,De brie was everywhere.,1
Why did the black man go to the golf-club on Sunday afternoon?,Because he had a membership.,1
What do you call a dinosaur that practices Islam?,A Quranosaurus.,1
Shout-out to all of you staying true to your diet throughout Thanksgiving weekend.,"I tried but the stuffing was too bomb  Anyways, Y'all the real MVP",1
"Hell hath no fury like your kid catching you throwing away anything, EVER.",I smuggle out broken crayons like a mexican drug lord.,1
What do you call an Irish bodyguard?,Liam Malone.,1
Remember not to laugh at your ex wife's choices.,You were one of them.,1
What do cats love to read.,catalogs,1
You ever stick your dick in pecan pie?,It's fucking nuts.,1
What are rich people called in Japan?,Milyennaires,1
"Q: What county in Ireland hates ""South Park?""",A: Killkenny.,1
Where do suicide bombers go when they die?,Everywhere!,1
"When your girlfriend says ""I love you"" reply with ""I love you more!""",Because relationships are competitions that must be won.,1
Australians don't have sex... Australians mate.,haha,1
What is the difference between a hippo and a Zippo?,One is heavy and the other is a little lighter.,1
What do you call a gay man's paradise?,A fruitopia.,1
What did the pirate say when he turned 80?,Aye Matey.,1
How did Jesus feel when they crucified him?,He was cross.,1
In which country are they refusing to use wi-fi and bluetooth?,In wireland,1
"I won the ""Most Secretive Guy"" award in our office today.",I can't tell you how much this award means to me.,1
My wife says I make too many puns about sweat.,I'm not sure what she's saunabout,1
I knew a guy that was told he was the worst Best Man ever.,He was speechless.,1
"Sometimes when things go bad, I only have other people to blame.",I love that.,1
What's the difference between a pregnant woman and a light bulb?,You can always unscrew a light bulb.,1
Why do fish always sing off key?,You can't tuna fish.,1
My friend asked me to describe myself in 3 words.,Lazy,1
How do Japanese people refer to American politicians?,Parti-san,1
What do you call a Muslim who always makes mistakes?,Errorist,1
Just learned the word for constipation in German.,Farfrompoopen.,1
Why can't a nose be 12 inches?,Because then it would be a foot.,1
What's worse than a paper titty?,A cardboard box,1
Last time when I was someone's type..,I was donating blood.,1
What's the difference between a slut and a bitch?,A slut fucks everyone... A bitch fucks everyone but YOU.,1
How is eating a girl out like being a member of the mafia?,"One slip of the tongue, and you're in deep shit!",1
What's a blind person's favorite fast food joint?,Taco Braille,1
How many people in denial does it take to change a light bulb?,There is nothing wrong with the light bulb!,1
What does a Thesaurus eat for breakfast?,A synonym roll.,1
The greatest trick the Devil ever pulled was convincing the world he didn't exist.,The worst trick he pulled was that 'Got your nose' thing.,1
if running over deer had taught me anything...,"It's that if somethings horny, plow it on the hood of your car",1
A lot of people don't realize the months are named after Roman emperors.,"Like June, that's named after Junelius Caesar.",1
What did the Cannibal do after he dumped his Girlfriend?,Wipe his ass.,1
What's the difference between firewood and a jew?,The firewood ain't been turned into ash yet.,1
Hopefully no one ever sees those shorts I was actually wearing.,Too Short 4 Dean Wheres The Beer Baby,1
I made a website for orphans.,Unfortunately it doesn't have a home page.,1
My dentist removed the wrong tooth.,It was acci-dental.,1
What do you call two gay Irishmen?,Michael Fitzpatrick and Patrick Fitzmichael,1
What's the hardest part about roller blading?,Telling your parents that you're gay.,1
What do you call a priest that's also a lawyer?,A father in law,1
What do you call the underground slave trade?,The black market.,1
What's the best part about a redneck family fight?,The makeup sex,1
What is a perfect society formed by a Asian called?,A Yutopia,1
I'm interested in this girl who only dates Catholic guys... ...,I guess you could call me a pope-less romantic,1
What's the most dangerous animal in Africa?,Black people.,1
What's the hardest part of washing a vegetable?,putting them back in the wheelchair,1
A Jew walks into a wall with an erection.,Gets a broken nose.,1
What do my wife and my math teacher have in common?,They both love to create problems that I am apparently supposed to solve.,1
I once dated a girl with a twin People asked me how I could tell them apart.,"It was simple, Jill colored her nails purple and bob had a cock",1
"What's the difference between a nun, and a prostitute in a bathtub?",The nun has hope in her soul.,1
"What do you call a tall, obese computer nerd with a bladder control problem.",A Big Fat Geek Wetting.,1
A vegan said to me those who sell meat are disgusting.,I said those who sell fruits and vegetables are grocer.,1
I was sitting on the toilet and having a poop when the clock struck midnight.,"Same shit, different day.",1
Why are most Muslims broke all the time?,They never understood the concept of piggy banks.,1
WHat's the worst part of being a black jew?,You have to sit in the back of the gas chamber,1
Whats the difference between a canoe and a jew?,One tips the other doesn't.,1
Why do Americans have good computers?,Because they have no troubleshooting.,1
What does idk stand for?,Literally everyone I ask says they don't know.,1
There's too much news now.,I just found out about the new aluminum tariff from my Snapple cap.,1
A disabled woman's guide dog has just shit all over the footpath near my house.,So I've done the responsible thing and proceeded to video her whilst she struggles to clean it up.,1
What's the difference between a feminist and a suicide vest?,A suicide vest will blow you.,1
What do you get when you play tug of war with a pig?,Pulled pork.,1
What's the difference between an illegal Mexican and an autonomous robot...?,Nothing... they were both made to steal American jobs.,1
"It's not my farting that bothers my wife, it's me yelling ""Release the Kraken!!""",right before I do it.,1
What do you call a participation trophy in astronomy?,A constellation prize.,1
A man was hospitalized with 6 plastic horses up his butt.,Doctors have described his condition as stable.,1
It's easy to convince ladies not to eat tide pods.,But it's harder to deter gents.,1
My wife caught me cheating last night and i feel so ashamed and full of regret.,She's never going to play monopoly with me again!,1
What does Stephen Hawking say when his computer crashes?,Nothing.,1
My neighbor called my dog fat the other day.,Took me two hours to convince my dog that he just had thick fur.,1
I accidentally rubbed ketchup in my eyes.,Now I have Heinzsight.,1
What color is the wind?,Blew.,1
"Sadly, I've lost 20% of my sight.",Sigh,1
what do you call the offspring of two lesbians?,A hermaphrodike,1
What did the snail say while riding on the turtle's back?,Wheeeeeee!,1
What kind of exercise do lazy people do ?,Diddly-squats.,1
Why do Scotsmen wear kilts.,Cause a sheep can hear a zipper a mile away.,1
Instagram banned me for life cuz I kept commenting 'but are you happy?',on everyone's pictures.,1
What do Jewish women get when they go to the gynecologist?,A pap schmear.,1
I used to think all black people had boomboxes.,Then I realized that was just a stereo type,1
What does your mom and a rain forest have in common?,"If you look deep enough in the bush, you might find a cockatoo.",1
Anyone remember the joke about the dwarf?,"Can't think right now, should be easy to remember, it was only a short one.",1
Sometimes I wake up grumpy.,But other times I let her sleep in.,1
How many black guys does it take to change a light bulb?,Three... One to change the light bulb and two to stab each other.,1
My wife hates it when our next door neighbor sunbathes topless in her yard.,Personally I'm on the fence.,1
It's really nice to see the political parties attacking each other instead of working together.,What a great way to get through the hard times in life.,1
What do you tell a smelly Japanese person?,Takashawa.,1
Accidentally called 911.,Set my house on fire to not look stupid.,1
I just got a new job at a gay magazine.,I'm a poofreader.,1
What do you call a T-Rex with a bomb strapped to it's chest?,Dinomite.,1
How many feminists does it take to change a light-bulb?,THAT'S NOT FUNNY!,1
What do multiculturalism and the movie Jaws have in common?,They both made Americans despise great whites!,1
Did you hear about the Native American who drank 1000 glasses of tea?,He drowned in his tea pee.,1
"My first instinct when I see an animal is to say ""Hello"".",My first instinct when I see a person is to avoid eye contact and hope it goes away.,1
What do you call a woman on a cruise ship in Mexico using the diving board at the pool?,A broad abroad on a board aboard.,1
What do a prostitute and a plumber have in common?,They both service the john.,1
What do a coffee shop and a Japanese castle siege have in common?,Baristas,1
Whats a word that white people can call white people but black people cannot call black people?,Dad.,1
"I only drink on days beginning with ""T"".","Tuesday, Thursday, today and tomorrow",1
"When I was young, I always felt like a male trapped in a females body.",Then I was born,1
"What do you call sliding into home plate, on a green field in Mexico?",Muchas Grassy-ass.,1
What do you call a muslim crocodile?,An Allahgator!,1
"After marriage, most couples have a honeymoon period.",Mine got hers as we got on the plane.,1
Why there are so many avenues in France?,Because german soldiers like to march in the shade,1
Drunk' pilot removed from United Airways plane at Newark Airport.,Still safer than a Muslim one.,1
My wife just tripped and fell while carrying a bunch of clothes she just ironed.,I watched it all unfold.,1
What do you call an Asian guy that always shows up before he needs to?,Earl Lee,1
What did the arsonist use to set the Amazon Warehouse on fire?,Amazon kindle.,1
I keep trying to lose weight.,But it keeps finding me.,1
If I don't perfect human cloning...,I won't be able to live with myself.,1
What do you call the testicles of a peacock?,His peanuts,1
What are ways we can address toxic masculinity amongst studs?,Auntie Red Tweet Tea,1
Did you know the pope really loves cats?,He's a real catholic.,1
Africans have the best drinking games.,"Like, the last one to find the water dies",1
My wife left me for a fisherman.,Poor guy's still reeling.,1
Why did the feminist fail algebra?,Because she thought 2x was the answer to everything,1
A hamburger walks into a bar and orders a beer.,"Bartender says,""Sorry, we don't serve food here.""",1
How did the butcher introduce his wife?,Meet Patty!,1
The 2020 election results are in!,"Oh sorry, this is just for us Russians.",1
Me (watching millennials being convinced that fanny packs are fashionable): This is hilarious.,Best punk ever.,1
How do you call the social media that your grandmother uses?,Instagran,1
A vulture gets on a plane carrying two dead raccoons.,"The flight attendant says, ""Sorry sir, only one carrion item per passenger.""",1
Q: What do peroxide blonds and black men have in common?,A: They both have black roots.,1
What happened to the turkey that got in a fight?,He got the stuffing knocked out of him!,1
Why are Americans so bad at League of Legends?,because they can't protect their towers,1
What's a Southeastern Asian business professional's favorite food?,Tie food,1
I should rename myself Summer.,All girls want is Summer to come.,1
How do you say goodbye to a thousand Japanese people?,A big wave,1
We should make it a rule not to post any jokes about the un-employed here.,They just don't work.,1
Who won the Tour de France in 1940?,the Sixth German Panzer Division,1
I hate it when people don't know the difference between your and you're.,There so stupid.,1
Why do midgets make bad parents?,Cause they struggle to put food on the table,1
"I call bullshit, airport baby changing station!",I wanted an Asian baby but I'm stuck with the white kid I flew in with.,1
Where did I take my pet Cow on Valentines Day?,To the Moooovies rofl,1
What do you call a group of homosexual lions?,gay pride,1
I had a hen who could count her own eggs.,She's a mathmachicken.,1
What's the best reason to date a pornstar?,You never have to meet her father.,1
What do you call a woman who knows where her husband is all the time?,A widow.,1
"If God hates gays so much, why didn't he put it in the ten commandments?",Instead he's more pissed that you're jealous of your friend's PS4,1
Did you hear about the girl who went fishing with three guys?,She came back with a red snapper.,1
What type of wife always knows where her husband is?,A widow,1
Why are black people like sperm?,Only one in a million actually works.,1
I find sex is just like peeling a potato really.,There's usually a knife in my hand.,1
How many feminists does it take to screw in a lightbulb?,DO IT YOURSELF YOU FILTHY MAN!,1
How many McDonald's workers does it take to change a light bulb?,"None, because they can't climb the ladder.",1
How many ants are needed to fill an apartment?,Tenants,1
"Apparently, halal chicken is killed in the traditional Muslim way.",How the fuck do you strap a rucksack to a chicken?,1
"hey girl, are you my mom?",cuz i'd like to kill your husband and fuck you,1
What's the difference between Indians and Pakistanis?,When a Pakistani has a red dot on his forehead it means he has about two seconds to live.,1
What happens to an egg every time you look at it?,It becomes eggs sighted.,1
I am amazing at managing my credit card.,My bank keeps sending me letters saying my account is outstanding.,1
"What's black, blue and doesn't look too well?",Stevie Wonder,1
How do Jews fight?,With JewJitsu,1
"My IT guy just asked, ""How does a computer get drunk?""",It takes screen shots.,1
When I die I'm going to donate my body to science.,That's the only way I'll ever get into medical school.,1
Yesterday my wife broke down whilst telling me she had Parkinson's.,She was even less impressed when I told her to 'get a grip.',1
Why did the Irishman only put 239 beans in his soup?,Because one more would have been too farty.,1
"The bartender says ""we don't serve time travelers in here"".",A time traveler walks into a bar.,1
The doctor hands me the baby and tells me my wife didn't make it.,So I politely return the baby and ask for the one my wife made.,1
Went to petit trois tonight and it was delicious!,"Man though, sitting in a high stool for all of dinner was tough on the old girl",1
My wife walked out on me after I blew our life savings on a penis extension.,She said she just can't take it any longer.,1
"The clitoris has almost 8,000 nerve endings.",But it's still not as sensitive as the woman it's attached to.,1
What do you call the argument between two vegans?,A plant-based beef.,1
What do you call Dracula's retarded cousin?,Countdown,1
Did you hear about the blonde who stayed up all  night to see where the sun went?,It finally dawned on her!,1
driving instructor: don't hit the orange cones orange cone: yeah you bitch baby.,lil baby bitch driving instructor: [holding me back] he's not worth it man don't,1
The Job Promotion Saudi Arabia just announced that someone was promoted be the new Oil Minister.,That would make it a sheikh-up in the government.,1
What is the difference between Chinese people and Albinos?,Chinese people have many Tans.,1
A fun activity at the rodeo is walking around asking people if it's their first rodeo.,It never gets old.,1
Why don't blind men go skydiving?,Because it scares the shit out of the dog!,1
Why was the horse kicked out of the country western bar?,He was a homosexual.,1
So I told my wife she'd look sexier with her hair back.,Apparently that's not a nice thing to say to cancer patients.,1
"My wife said last night: ""You treat our marriage like it's some sort of game.""","Unfortunately, this cost her 12 points and a bonus chance.",1
What's the best thing about having sex with a Transsexual?,Reaching around and pretending it went all the way through.,1
I made a new app for Muslim wrestlers.,iSlam,1
My Dad told me he always struggled with three subjects in school.,"Maths, and he couldn't remember the other one.",1
Did you hear about the woman who got attacked by a gang of mimes?,They performed unspeakable acts on her.,1
Why do all Asians think they're a celebrity in Rome?,"Every time someone says ""ciao"" they think they're taking about them",1
Why did the hippie stick his penis in the chick peas?,Because he was a hummusexual...,1
I thought my dad spent all his savings on an expensive wig.,But one look and I realised it was a small price toupee.,1
What's Whitney Houston's favourite type of coordination?,HAND EYYYYYYYYYEEE,1
What do you call a fish wearing a tie.,Sofishticated.,1
Me: I think the coolest sport is horse golf Guy: do you mean polo?,Me: [realizing he isn't classy enough to know about horse golf] yes,1
What was the Rabbi's favorite frozen treat?,Jew-lato,1
How many police officers does it take to change a light bulb?,"None, because they'll just beat the room for being black!",1
What do gay people call each other on?,Homophones!,1
"I was playing chess with my friend and he said, ""Let's make things interesting.""",So we stopped playing chess.,1
I once knew a girl who confused a tube of KY jelly... for a tube of super glue.,I asked her how it happened... her lips were sealed.,1
Why shouldn't you invest in muslim-owned businesses?,They never show a prophet.,1
I once dated a dyslexic woman.,I took her home and she cooked my sock.,1
What hat does a Mexican wear to a funeral?,A somber-ero.,1
A new strain of head lice is going around which is resistant to conventional treatments.,That has left scientists scratching their heads.,1
Alabama changed the drinking age to 34.,They wanted to keep alcohol out of the high schools,1
My wife left me because she said I made a meal out of everything.,I intend to make her eat those words.,1
My girlfriend yelled at me because I apparently treat her like a child.,So I gave her a sticker for standing up for herself.,1
What`s the difference between chinese people and racism?,Racism has many faces,1
Why do only 10% of men make it to heaven?,"Because if they all went, it would be Hell.",1
Whoever stole my anti depressants.,I hope you're happy now.,1
Why was the anti-vaxxer's 4 year old child crying?,Midlife crisis,1
What do you call a company that makes Mexicans?,A MexiCo.,1
What do you call a zombie's boner?,A reserection.,1
"When a bear stays in bed for 7 months in a row, they call it hibernation.","But when I do it, everyone says I'm depressed",1
Someone broke into my house last night and stole my Limbo stick.,How low can you get?,1
What do you get when you mix alcohol and literature?,Tequila Mockingbird,1
What does a lawyer name his daughter?,Sue.,1
Why did the blonde have a sore belly-button?,Because she had a blond boyfriend.,1
I've never been more jealous of my brother who owns a big house.,It must be amazing to have all those rooms where you can go to avoid your wife and kids.,1
Why did the feminist refuse to work at the post office?,Because it was a mail dominated industry,1
Why are camels known as the ships of the desert?,Because they're filled with Arab semen.,1
My friend gets really upset when I call him a flat-Earther.,He says the correct term is bulldozer operator.,1
My wife was furious at me for kicking dropped ice cubes under the refrigerator.,But now it's just water under the fridge.,1
Asians are actually turning into good drivers.,"So if you're a good driver, watch out for Asians turning.",1
What do you call a deaf lesbian?,Earmuff,1
I've always had an irrational fear of speed bumps.,But I'm slowly getting over it.,1
What do you call a prematurely born Chinese baby?,Sudden Lee,1
I'm glad we were able to reconnect on Facebook after 20 years.,"Anyway, here's an invitation to like a page where I sell lotions.",1
I got my best friend a fridge for her birthday.,I can't wait to see her face light up when she opens it.,1
Why can't gay people drive while they're aroused?,Because they can't think straight.,1
Want to hear a joke about black people?,Never mind it won't work,1
What do you get when you combine a black guy and an octopus?,nobody knows actually but it will be perfect for picking cotton.,1
What do you call cows that don't have a sense of humor?,Feminists.,1
What do you get when you mix a Native American and an Irishman?,An alcoholic with a drinking problem,1
Why did the 'A' go to the bathroom and come out an 'E'?,It had a vowel movement.,1
They should have never given you girls fake eyelashes.,This chick just blinked and it sounded like a flock of pigeons took off.,1
What would you call a German-Muslim?,A Nazi Terrorist,1
Does black Santa come down the chimney and steal all of the children's presents?,Of course he fucking does.,1
What do you call a Muslim woman with an opinion?,A corpse.,1
My girlfriend treats me like God.,She ignores my existence and only talks to me when she needs something.,1
What do you call an Egyptian spine manipulator?,A Cairo-practor,1
Why are black peoples palms white?,Because there's a little bit of good in everyone.,1
I don't understand why everyone thinks the KKK are racist.,Every week at our meetings there's always tons of black people hanging around.,1
Which country is filled with very poor singers?,Singapore.,1
They all laughed when I told them that one day I would discover the secrets of invisibility.,If only they could see me now.,1
"Today, my son, Sam, told me that he wanted to become a woman.",I've always wanted a Trans Sam.,1
What do you call rich Mexicans?,The Juan percent.,1
Give a white man a fish and he'll eat for a day.,Give a black man a fishing rod and he'll fish your car keys through your letterbox.,1
What's the definition of 'Endless Love'?,Ray Charles and Stevie Wonder playing tennis.,1
I like my hookers like I like my treasure...,Buried.,1
Why don't cannibals eat clowns?,Because they taste funny.,1
Accidently said hello to a vegan feminist this morning.,My trial starts on Monday.,1
What do the Unabomber and a girl from Alabama have in common?,They were both fingered by their brother.,1
What is it called when two mummies fart at the same time?,Toot-in-common.,1
"Google Earth gives you the chance to look anywhere in the world, and what do you do?",You try and find your own fucking house.,1
Why is the ocean so salty?,Because the land doesn't wave back.,1
The sun is out.,So much for global nighting.,1
How can you tell if your moms got Parkinsons?,She's got lipstick on her eye balls.,1
Went out for a jog today Thought I heard someone clapping for me.,Turns out it was just my fat thighs.,1
How long does it take for a black woman to poop?,Nine months.,1
Think about it.,"If you buy a bigger bed, you have more bed room but less bedroom.",1
I just found out I'm colorblind.,The diagnosis came completely out of the purple.,1
Someone threw a giant bottle of omega-3 pills at me.,I'm fine - I only suffered super fish oil injuries.,1
A Down Syndrome walks into a bar.,"Barman says ""Why the mong face?""",1
How is a toddler like a cell phone?,If you can't find it in three days it's probably dead.,1
Have you heard of the dyslexic agnostic insomniac?,He stayed up all night wondering if there was a dog.,1
Why did ancient Egyptians love beans?,They made Tootin' Common.,1
Wearing crocs is like getting a blowjob from a guy.,It feels great until you look down and realize you're gay,1
I'm a compromise conspiracy theorist.,I believe Neil Armstrong walked on the moon and Buzz Aldrin didn't.,1
How can you tell the inventor of the toothbrush was from West Virginia?,If he was from anywhere else it would be called a teethbrush.,1
Everybody changed their job titles to sound less threatening but not landlords.,Those little lords still lordin' those lands.,1
How do you starve a black man?,Put his food-stamps next to his work boots.,1
What does a feminist use as a contraceptive?,Her personality,1
"Damn girl, are you a smoke detector?",Cause you're annoying and won't shut the fuck up.,1
I would like to be a millionaire just like my dad...,He wanted to be a millionaire too.,1
Listen here you snot nosed punk!,Better respect my fake badge.,1
What did the depressed ghost say to the psychiatrist?,Thanks for lifting my spirits.,1
What's Hitler's favorite Chinese food?,Lo mein kampf,1
Me: Are you mad because I said you sound like a bell when you get mad?,Her: DING DING DING,1
I was sacked from the ice cream factory today.,It was because I'll only work on two sundaes a month.,1
What do u call a greedy lesbian?,Bush hog.,1
It's surprising that you can't put your penis in an electrical socket.,I was shocked!,1
"This country has become so divided, it might as well be an amoeba.","Netflix, where's my comedy special?",1
Keep posting videos of your children being brats.,It's great birth control and the only way we're going to get this global population under control.,1
What's the difference between the G-Spot and a Golf Ball?,A guy will actually spend time searching for a Golf Ball.,1
What's the difference between Iceland and Ireland?,A consonant.,1
How do you make a water bed more bouncy?,You use spring water.,1
Why don't little girls fart?,Because they don't get an asshole until they get married.,1
Welcome to your 40s.,Your ability to be sneaky will now be hindered by your bones cracking when you walk.,1
I met a Jewish girl and she asked for my number.,I told her we use names here.,1
Anne Frank's dad actually edited her diary.,He took out things about sex and dirty jokes.,1
I haven't talked to my wife in three weeks.,I didn't want to interrupt her.,1
Why do some couples not go to the gym?,Some relationships don't work out,1
"Apparently, women in muslim countries can't drive.",They can't do it here either.,1
Q: What do you call a swimming pool full of blondes?,A: Frosted Flakes.,1
Why did the raging alcoholic throw his wife off a cliff?,Tequila,1
Welcome to your 40s.,You just injured your back reading this tweet.,1
I have a friend who's half Indian.,Ian,1
Feminist are boycotting James Coney Island..,They claim it's all about the wieners,1
What do you call a ginger kid who's good at martial arts?,The Carroty Kid.,1
Why should you always bring a bag of chips to a party?,In queso emergency.,1
Bored during lockdown?,Call a feminist group and ask to speak to the man in charge.,1
I live in quite a pretentious area.,Even the ducks demand butter with their bread.,1
Why Chinese vet never hungry?,Dog have rice.,1
I'm 60 days clean now.,"It's been hard showering every day, but thankfully I had heroin to help me through it.",1
The Indian man went to the doctor complaining about stomach pains.,He had Hindigestion.,1
What language do bugs in the Middle East speak?,Scarabic,1
What do you call a sad strawberry?,A blueberry corny,1
What do you call it when a homosexual asks a question?,A Query.,1
I'm sure my wife has been putting glue on my weapons collection.,"She denies it, but I'm sticking to my guns",1
I had a really long conversation with a feminist vegan key worker last night.,"Well, I listened.",1
Damn girl are you a newspaper?,Because there's a new issue with you every fucking day,1
I made a club about erectile dysfunction.,"It was a flop, nobody came",1
My girlfriends period is on my birthday.,Why does she always have to be so anal about everything?,1
What do you call riot police in Germany?,Kraut Control,1
Why do horses have such a low divorce rate?,Because they're all in stable relationships.,1
What do you call your Mexican crush?,Juan Andonle,1
Eminem is afraid of giraffes.,He doesn't like their necks.,1
What do you call an african american in a 3 piece suit?,The defendant.,1
What do you call a retired miner?,Doug.,1
"My girl caught me blowing my dick with the air dryer, and asked what I was doing.","Apparently, ""Heating your dinner"" wasn't a good answer.",1
What did the dead magician say?,Abra-cadaver ROFL,1
What's the difference between Dubai and Abu Dhabi?,People in Dubai don't like the Flintstones but people in Abu Dhabi doooooo.,1
What's a cannibal's favorite snack?,A knuckle sandwich.,1
Geez guys Not all Muslims are ISIS...,Some are Al-Qaaeda or Taliban.,1
Do you know what is the worst part about being an egg?,You get laid only once.,1
How does a Muslim close a door?,Islams it!,1
What do you call a muslim sitting on a plane?,A passenger,1
What has 4 wheels and flies?,A garbage truck.,1
Heard a news story about a village in Africa where everyone's dying of thirst.,I sent them a Get Well Soon card.,1
The Beirut explosion just shows how badly covid is affecting the world.,Even the terrorists are working from home.,1
Never get in a fight with a T-rex.,You'll get jurasskicked.,1
What so you call an Asian jew?,Jew Lee,1
"Damn girl, are your clothes Comcast customers?",Because I can see them getting ripped off tonight.,1
My town never changes population.,"Everytime a girl gets pregnant, a guy leaves town.",1
What do you call a chameleon that can't change its colors anymore?,A reptile dysfunction.,1
Did you hear about the guy who dipped his balls in glitter?,Pretty nuts,1
What's the difference between magic and black magic?,Black magic doesn't work.,1
I've just noticed my wife is wearing her sexy underwear.,This can only mean one thing She's behind with the washing.,1
What does an elderly Mexican have?,Senority,1
Why can't lesbians have sex at concerts?,Because rock beats scissors.,1
My horse has insomnia and keeps everyone awake.,She's a nightmare.,1
How is being a Jew like eating a burrito?,It's really not a problem until they give you gas.,1
The Rock had a baby girl today.,I hope he names her Pebble.,1
What does the arabs put in their Mexican food??,Allah-penos,1
They never tell you what you're supposed to do with your tongue when you're at the dentist.,How was I supposed to know licking his fingers would make it awkward,1
How does a woman go about inventing something?,She gives birth to a boy.,1
You know what my favorite thing about being Russian is?,Getting to vote in American elections.,1
Three conspiracy theorists walk into a bar.,You can't tell me that's just a coincidence!,1
Why do Native Americans hate snow?,Because it's white and settles on their land.,1
Whats black and thin and all over my private parts?,Dead African Children,1
Why was the white biologist considered racist?,Because he wanted to preserve his culture h,1
What's the difference between a gay man and straight man mustache?,The smell,1
The Chinese girl I dated turned out to be crazy.,I guess I should have noticed the big red flag.,1
"If the earth was flat and fish swam over the edge, where would they go?",Trouter space.,1
This girl on Tinder asked me why I have an unlit cigarette in my picture.,I told her that I am looking for matches.,1
My new girlfriend works at the Zoo.,I think she is a keeper.,1
How do you know when your girlfriend is getting fat?,She can fit into your wife's clothes,1
What is a rude way of referring to a young homosexual fly?,"A maggot, of course!",1
Just got a job as senior director at Old MacDonald's Farm.,I'm the CIEIO,1
What do you call a gay rubber band?,An elasstickle,1
If it hurts when you piss.,Urine trouble.,1
I met a vaping vampire from Romania.,He called himself Vlad the Inhaler.,1
Somebody drilled a hole in the fence around the nudist colony.,Police are looking into it.,1
What is a goat herder known as in the Middle East?,A Pimp,1
My girlfriend is half my size but takes up three quarters of the bed.,"If my math is correct, she's a bitch",1
What do you call a White Crocodile?,A Crocasian,1
What's the definition of endless love?,Stevie Wonder and Ray Charles playing tennis.,1
It's really hard to say what my wife does for a living.,She sells sea shells on the sea shore.,1
What did Santa say to Mrs. Claus when he saw a thunderstorm?,Looks like reindeer.,1
What do you call a person with a Simpsons fetish?,Homer-sexual,1
What's the difference between a feminist and an illegal immigrant?,The illegal immigrant knows how to cook.,1
For the first time in her life my wife was stunned into complete silence last night...,I love my taser.,1
What is a Cell?,something you keep black people in,1
"The recipe said, 'Set the oven to 180 degrees.'",Now I can't open the oven as the door faces the wall.,1
The guy who created cough drops died last week.,There'll be no coffin at his funeral.,1
What did Asian Jesus say before he was crucified?,YORO (You only resurrect once),1
Why did the transgender person disappear after they gave birth?,They became transparent.,1
Where was the first chicken fried?,In Greece.,1
What did the son corn say to the mama corn?,Where's pop corn?,1
Dodged the bullet A girl asked me today if she is wearing too much make-up.,I told her my reply depends on whether or not she intends to kill Batman.,1
Why do bees have sticky hair?,They use honeycombs.,1
What do you call it when a person has a fear of Vietnamese food?,They have a Pho-bia!,1
What is a Muslim's Favorite Dinosaur???,Allahsaurus!,1
Do all black people have a problem with slavery?,Or just mine?,1
What does a house wear?,Address.,1
Mob Boss: I just found out someone in our crew is an undercover cop.,He's not even really Italian Vito Spaghetti: mama mia no way,1
Someone told me I'm condescending.,That means I talk down to people.,1
You are what you eat.,Which explains why my chinese class mates are dogs.,1
My girlfriend left me because apparently I try to act like an American.,So I mowed down her entire family with a machine gun.,1
How does The Rock pee?,He Dwaynes his Johnson.,1
